trial,Original_index,nb_syll/s,nb_phon/s,syll_fl/s,phon_fl/s,log_freqlex/s,mean_voisphon/s,mean_puphon/s,camemBERT/s,duration_s,suj_id,scores,vitesse,peak_env,GPT2-small-fr/s
3.0,12885.0,11.848341232227485,23.696682464454977,667.9461531812796,318.84770568720376,16.422806693547596,22.681110358835483,3.0467163168584968,4.746123986245985,0.8440000000000001,suj_1,1.0,2.0,9.8,4.110704948551846
4.0,17644.0,30.43213633597078,66.95069993913572,1309.8070666920264,879.9845465611685,40.07566497441707,51.29988696635075,9.56438570559082,8.722673099856083,0.3286,suj_1,0.0,5.0,23.000000000000004,11.853849604880018
4.0,17644.0,27.388922702373705,60.25562994522215,1178.8263600228238,791.9860919050516,36.06809847697537,46.16989826971568,8.607947135031736,7.850405789870473,0.3651111111111111,suj_1,0.0,4.5,20.700000000000003,10.668464644392015
4.0,17644.0,24.345709068776628,53.560559951308576,1047.8456533536212,703.9876372489348,32.060531979533664,41.0399095730806,7.651508564472656,6.9781384798848665,0.41075,suj_1,1.0,4.0,18.4,9.483079683904014
4.0,17644.0,21.30249543517955,46.86548995739501,916.8649466844188,615.989182592818,28.05296548209196,35.90992087644553,6.695069993913574,6.105871169899258,0.4694285714285714,suj_1,1.0,3.5,16.1,8.297694723416013
4.0,17644.0,18.25928180158247,40.17041996348144,785.8842400152159,527.9907279367011,24.045398984650248,30.779932179810448,5.738631423354493,5.23360385991365,0.5476666666666666,suj_1,1.0,3.0,13.8,7.11230976292801
4.0,17644.0,15.21606816798539,33.47534996956786,654.9035333460132,439.9922732805842,20.037832487208536,25.64994348317537,4.7821928527954105,4.361336549928041,0.6572,suj_1,1.0,2.5,11.500000000000002,5.926924802440009
4.0,17644.0,12.172854534388314,26.780279975654288,523.9228266768106,351.9938186244674,16.030265989766832,20.5199547865403,3.825754282236328,3.489069239942433,0.8215,suj_1,1.0,2.0,9.2,4.741539841952007
5.0,18111.0,30.65774804905239,61.31549609810478,1785.2607799052398,990.117362207358,45.31325704246903,47.77830864787386,8.759356585443543,5.797316244031285,0.3588,suj_1,0.0,5.0,20.0,13.575537946311924
5.0,18111.0,27.591973244147148,55.183946488294296,1606.734701914716,891.1056259866223,40.78193133822212,43.00047778308648,7.883420926899189,5.217584619628157,0.3986666666666666,suj_1,0.1428571428571428,4.5,18.0,12.217984151680731
5.0,18111.0,24.526198439241917,49.05239687848383,1428.208623924192,792.0938897658864,36.25060563397521,38.22264691829909,7.007485268354834,4.637852995225028,0.4485,suj_1,0.4285714285714285,4.0,16.0,10.86043035704954
5.0,18111.0,21.46042363433668,42.92084726867336,1249.6825459336678,693.0821535451506,31.71927992972831,33.4448160535117,6.13154960981048,4.058121370821899,0.5125714285714286,suj_1,0.0,3.5,14.0,9.502876562418349
5.0,18111.0,18.39464882943144,36.789297658862864,1071.156467943144,594.0704173244147,27.18795422548141,28.66698518872432,5.255613951266126,3.478389746418772,0.598,suj_1,0.7142857142857143,3.0,12.0,8.145322767787155
5.0,18111.0,15.328874024526195,30.65774804905239,892.6303899526199,495.05868110367896,22.65662852123452,23.88915432393693,4.3796782927217714,2.8986581220156427,0.7176,suj_1,0.7142857142857143,2.5,10.0,6.787768973155962
5.0,18111.0,12.263099219620957,24.526198439241917,714.104311962096,396.0469448829432,18.12530281698761,19.111323459149546,3.503742634177417,2.318926497612514,0.897,suj_1,1.0,2.0,8.0,5.43021517852477
6.0,18867.0,24.92522432701895,69.79062811565305,1744.3839576046869,926.0584774426724,44.20081753317611,39.88035892323032,8.901865831078196,12.912429395933245,0.4012,suj_1,0.0,5.0,20.500000000000004,12.962769416132096
6.0,18867.0,22.43270189431705,62.81156530408774,1569.9455618442182,833.452629698405,39.780735779858496,35.892323030907285,8.011679247970376,11.62118645633992,0.4457777777777777,suj_1,0.0,4.5,18.450000000000003,11.666492474518888
6.0,18867.0,19.94017946161516,55.83250249252244,1395.507166083749,740.8467819541378,35.360654026540885,31.90428713858425,7.121492664862558,10.329943516746596,0.5015,suj_1,0.1428571428571428,4.0,16.400000000000002,10.37021553290568
6.0,18867.0,17.447657028913262,48.85343968095714,1221.068770323281,648.2409342098706,30.94057227322327,27.91625124626122,6.231306081754737,9.038700577153271,0.5731428571428571,suj_1,0.1428571428571428,3.5,14.35,9.07393859129247
6.0,18867.0,14.955134596211364,41.874376869391824,1046.630374562812,555.6350864656033,26.520490519905664,23.928215353938192,5.3411194986469175,7.747457637559947,0.6686666666666666,suj_1,0.2857142857142857,3.0,12.3,7.777661649679259
6.0,18867.0,12.462612163509474,34.895314057826525,872.1919788023433,463.0292387213361,22.10040876658805,19.94017946161516,4.450932915539098,6.456214697966622,0.8023999999999999,suj_1,0.4285714285714285,2.5,10.250000000000002,6.481384708066049
6.0,18867.0,9.970089730807578,27.91625124626122,697.7535830418747,370.4233909770689,17.680327013270446,15.952143569292126,3.5607463324312785,5.164971758373298,1.003,suj_1,1.0,2.0,8.200000000000001,5.185107766452839
7.0,20462.0,27.190332326283997,51.3595166163142,1488.5498572500003,692.1484832326285,42.8912423837129,41.00129477772983,6.905481225722919,10.539554579720525,0.331,suj_1,0.1428571428571428,5.0,25.0,9.277646995383089
7.0,20462.0,24.471299093655592,46.22356495468277,1339.6948715250005,622.9336349093654,38.60211814534161,36.90116529995685,6.214933103150625,9.485599121748471,0.3677777777777777,suj_1,0.4285714285714285,4.5,22.5,8.349882295844777
7.0,20462.0,21.752265861027198,41.08761329305136,1190.8398858000005,553.7187865861026,34.31299390697032,32.80103582218386,5.524384980578335,8.431643663776418,0.41375,suj_1,0.4285714285714285,4.0,20.0,7.422117596306469
7.0,20462.0,19.0332326283988,35.95166163141994,1041.9849000750005,484.5039382628399,30.023869668599037,28.70090634441088,4.833836858006042,7.377688205804366,0.4728571428571429,suj_1,1.0,3.5,17.5,6.49435289676816
7.0,20462.0,16.314199395770395,30.81570996978852,893.1299143500003,415.289089939577,25.734745430227733,24.600776866637894,4.14328873543375,6.323732747832312,0.5516666666666666,suj_1,0.8571428571428571,3.0,15.0,5.566588197229851
7.0,20462.0,13.595166163141997,25.67975830815709,744.2749286250001,346.07424161631417,21.44562119185645,20.500647388864916,3.4527406128614584,5.2697772898602615,0.662,suj_1,1.0,2.5,12.5,4.638823497691544
7.0,20462.0,10.876132930513595,20.54380664652568,595.4199429000001,276.85939329305137,17.15649695348516,16.40051791109193,2.7621924902891672,4.215821831888209,0.8275,suj_1,1.0,2.0,10.0,3.7110587981532346
8.0,32123.0,23.06805074971165,54.78662053056517,1616.2320589677054,728.9806869809689,41.589368088309726,47.783819410117,7.826660075795022,17.742246019816907,0.3468,suj_1,0.1428571428571428,5.0,25.500000000000004,13.607393911553087
8.0,32123.0,20.76124567474049,49.30795847750865,1454.6088530709344,656.0826182828722,37.43043127947876,43.0054374691053,7.043994068215523,15.968021417835214,0.3853333333333333,suj_1,0.2857142857142857,4.5,22.950000000000003,12.24665452039778
8.0,32123.0,18.45444059976932,43.82929642445213,1292.985647174164,583.1845495847753,33.27149447064779,38.2270555280936,6.26132806063602,14.193796815853524,0.4335,suj_1,0.5714285714285714,4.0,20.4,10.885915129242472
8.0,32123.0,16.147635524798154,38.350634371395614,1131.3624412773936,510.2864808866784,29.11255766181681,33.44867358708189,5.478662053056516,12.419572213871836,0.4954285714285714,suj_1,1.0,3.5,17.85,9.525175738087162
8.0,32123.0,13.840830449826989,32.8719723183391,969.7392353806227,437.3884121885815,24.95362085298585,28.6702916460702,4.695996045477015,10.645347611890143,0.578,suj_1,1.0,3.0,15.3,8.164436346931854
8.0,32123.0,11.534025374855824,27.393310265282587,808.1160294838527,364.49034349048446,20.794684044154867,23.891909705058488,3.913330037897512,8.871123009908453,0.6936,suj_1,1.0,2.5,12.750000000000002,6.8036969557765445
8.0,32123.0,9.22722029988466,21.914648212226066,646.492823587082,291.5922747923876,16.635747235323894,19.1135277640468,3.1306640303180098,7.096898407926762,0.867,suj_1,1.0,2.0,10.2,5.442957564621236
9.0,32463.0,24.98750624687657,67.46626686656673,1532.6723880658426,709.4844144177913,43.349506064084046,33.554651245805665,8.567144998929107,7.36201888807855,0.4002,suj_1,0.0,5.0,24.000000000000004,12.863409155788927
9.0,32463.0,22.48875562218891,60.71964017991006,1379.4051492592582,638.5359729760121,39.01455545767565,30.19918612122509,7.710430499036196,6.625816999270695,0.4446666666666666,suj_1,0.0,4.5,21.6,11.577068240210036
9.0,32463.0,19.990004997501256,53.97301349325338,1226.137910452674,567.587531534233,34.67960485126724,26.84372099664453,6.853715999143286,5.88961511046284,0.50025,suj_1,0.5714285714285714,4.0,19.200000000000003,10.290727324631142
9.0,32463.0,17.4912543728136,47.22638680659671,1072.8706716460897,496.6390900924538,30.34465424485884,23.48825587206397,5.997001499250375,5.1534132216549855,0.5717142857142857,suj_1,1.0,3.5,16.800000000000004,9.004386409052248
9.0,32463.0,14.99250374812594,40.47976011994004,919.6034328395052,425.6906486506748,26.009703638450432,20.1327907474834,5.140286999357464,4.417211332847129,0.6669999999999999,suj_1,1.0,3.0,14.400000000000002,7.7180454934733564
9.0,32463.0,12.493753123438283,33.73313343328336,766.3361940329213,354.74220720889565,21.674753032042027,16.777325622902833,4.283572499464554,3.681009444039275,0.8004,suj_1,1.0,2.5,12.000000000000002,6.431704577894464
9.0,32463.0,9.995002498750628,26.98650674662669,613.0689552263369,283.7937657671165,17.339802425633618,13.421860498322266,3.426857999571643,2.94480755523142,1.0005,suj_1,1.0,2.0,9.6,5.145363662315571
10.0,33633.0,22.50984805852561,67.52954417557683,1825.16520434018,873.0019103826672,42.24631967842903,43.009888254682856,7.637269876999762,7.712722676051909,0.3554,suj_1,0.5714285714285714,5.0,21.5,8.898929859992153
10.0,33633.0,20.258863252673045,60.77658975801914,1642.6486839061622,785.7017193444003,38.021687710586136,38.70889942921457,6.8735428892997845,6.941450408446717,0.3948888888888888,suj_1,0.7142857142857143,4.5,19.35,8.009036873992937
10.0,33633.0,18.007878446820484,54.02363534046146,1460.132163472144,698.4015283061339,33.797055742743225,34.40791060374628,6.109815901599808,6.170178140841527,0.44425,suj_1,0.0,4.0,17.2,7.119143887993722
10.0,33633.0,15.756893640967924,47.270680922903786,1277.615643038126,611.1013372678673,29.57242377490032,30.106921778278,5.346088913899832,5.398905873236336,0.5077142857142857,suj_1,0.2857142857142857,3.5,15.05,6.229250901994507
10.0,33633.0,13.505908835115363,40.51772650534609,1095.0991226041078,523.8011462296004,25.347791807057423,25.80593295280971,4.582361926199856,4.627633605631145,0.5923333333333333,suj_1,0.7142857142857143,3.0,12.9,5.339357915995292
10.0,33633.0,11.254924029262805,33.76477208778841,912.58260217009,436.5009551913337,21.12315983921452,21.504944127341428,3.81863493849988,3.8563613380259545,0.7108,suj_1,1.0,2.5,10.75,4.4494649299960765
