trial,Original_index,nb_syll/s,nb_phon/s,syll_fl/s,phon_fl/s,log_freqlex/s,mean_voisphon/s,mean_puphon/s,camemBERT/s,duration_s,suj_id,scores,vitesse,peak_env
4.0,17644.0,18.25928180158247,40.170419963481436,7.8588424001521595,5.279907279367011,24.045398984650248,30.779932179810448,5.738631423354493,5.23360385991365,0.5476666666666666,suj_1,1.0,3.0,13.8
4.0,17644.0,15.21606816798539,33.47534996956786,6.549035333460132,4.399922732805842,20.037832487208536,25.649943483175374,4.7821928527954105,4.361336549928041,0.6572,suj_1,1.0,2.5,11.500000000000002
4.0,17644.0,12.172854534388314,26.780279975654288,5.239228266768106,3.519938186244674,16.030265989766832,20.5199547865403,3.825754282236328,3.489069239942433,0.8215,suj_1,1.0,2.0,9.2
5.0,18111.0,30.65774804905239,61.31549609810478,17.852607799052397,9.901173622073578,45.31325704246903,47.77830864787386,8.759356585443543,5.797316244031285,0.3588,suj_1,0.0,5.0,20.0
5.0,18111.0,27.591973244147148,55.183946488294296,16.06734701914716,8.911056259866223,40.781931338222115,43.00047778308648,7.883420926899189,5.217584619628157,0.39866666666666667,suj_1,0.14285714285714285,4.5,18.0
5.0,18111.0,24.526198439241913,49.052396878483826,14.282086239241918,7.920938897658864,36.25060563397521,38.22264691829909,7.007485268354834,4.637852995225028,0.4485,suj_1,0.42857142857142855,4.0,16.0
5.0,18111.0,21.460423634336678,42.920847268673356,12.496825459336678,6.930821535451506,31.71927992972831,33.4448160535117,6.13154960981048,4.058121370821899,0.5125714285714286,suj_1,0.0,3.5,14.0
5.0,18111.0,18.39464882943144,36.789297658862864,10.71156467943144,5.940704173244147,27.18795422548141,28.666985188724322,5.255613951266126,3.4783897464187716,0.598,suj_1,0.7142857142857143,3.0,12.0
5.0,18111.0,15.328874024526195,30.65774804905239,8.926303899526198,4.950586811036789,22.656628521234524,23.88915432393693,4.3796782927217714,2.8986581220156427,0.7176,suj_1,0.7142857142857143,2.5,10.0
5.0,18111.0,12.263099219620955,24.526198439241913,7.141043119620959,3.960469448829432,18.12530281698761,19.111323459149546,3.503742634177417,2.318926497612514,0.897,suj_1,1.0,2.0,8.0
6.0,18867.0,24.92522432701895,69.79062811565305,17.44383957604687,9.260584774426723,44.20081753317611,39.88035892323032,8.901865831078196,12.912429395933245,0.4012,suj_1,0.0,5.0,20.500000000000004
6.0,18867.0,22.43270189431705,62.81156530408774,15.699455618442181,8.33452629698405,39.780735779858496,35.892323030907285,8.011679247970376,11.62118645633992,0.4457777777777777,suj_1,0.0,4.5,18.450000000000006
6.0,18867.0,19.94017946161516,55.83250249252244,13.955071660837493,7.408467819541378,35.360654026540885,31.90428713858425,7.121492664862558,10.329943516746596,0.5015,suj_1,0.14285714285714285,4.0,16.400000000000002
6.0,18867.0,17.447657028913262,48.85343968095714,12.210687703232809,6.482409342098706,30.94057227322327,27.91625124626122,6.231306081754737,9.038700577153273,0.5731428571428571,suj_1,0.14285714285714285,3.5,14.35
6.0,18867.0,14.955134596211364,41.874376869391824,10.46630374562812,5.556350864656033,26.520490519905664,23.928215353938192,5.3411194986469175,7.747457637559947,0.6686666666666666,suj_1,0.2857142857142857,3.0,12.3
